header.cases,17520000000_0.126350,191500000000_0.105600,231360000000_0.096362
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slli48_srli48_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_sraiw16_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_slliw16_srliw16_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli8_andi255_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli29_add_4,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_0,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_1,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_2,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_3,0,0,0
core_with_l2.core.backend.ctrlBlock.fusionDecoder.case_srli30_add_4,0,0,0
